9.64 -0.29 -0.4 -0.19 0.0 0.13 -49.06 -5.5 24.5 88.19 87.13 178.31 1069793.0 1583076459.8965986 69
9.65 -0.37 -0.46 -0.06 0.06 0.06 -48.69 -6.88 24.5 88.19 87.13 178.31 1069843.0 1583076459.9455926 70
9.68 -0.38 -0.43 0.06 -0.13 0.06 -48.69 -6.56 25.56 88.19 87.13 178.31 1069893.0 1583076459.9988809 71
9.65 -0.29 -0.38 0.0 -0.31 0.0 -48.38 -5.06 25.56 88.19 87.13 178.31 1069943.0 1583076460.048454 72
9.66 -0.42 -0.49 0.13 0.13 0.19 -48.69 -5.5 24.75 88.19 87.13 178.31 1069993.0 1583076460.0950398 73
9.69 -0.39 -0.41 0.19 0.31 -0.25 -48.69 -7.25 25.25 88.19 87.13 178.31 1070043.0 1583076460.1474686 74
9.66 -0.31 -0.35 0.06 0.0 -0.06 -49.75 -5.75 24.5 88.19 87.13 178.31 1070093.0 1583076460.1971912 75
9.66 -0.37 -0.46 0.0 0.06 -0.06 -49.5 -6.19 24.5 88.19 87.13 178.31 1070143.0 1583076460.247707 76
9.62 -0.41 -0.38 -0.13 0.06 -0.06 -48.69 -5.75 25.25 88.19 87.13 178.31 1070193.0 1583076460.298444 77
9.63 -0.3 -0.41 -0.06 0.0 0.06 -48.38 -6.19 25.25 88.19 87.13 178.31 1070243.0 1583076460.348808 78
9.61 -0.37 -0.47 -0.06 0.0 0.13 -48.38 -5.5 24.75 88.19 87.13 178.31 1070293.0 1583076460.3991668 79
9.67 -0.41 -0.41 -0.06 0.13 -0.31 -49.06 -6.56 24.75 88.19 87.13 178.31 1070343.0 1583076460.4479735 80
9.65 -0.27 -0.42 0.0 0.0 -0.19 -48.0 -5.75 24.5 88.13 87.13 178.31 1070393.0 1583076460.5005968 81
9.69 -0.32 -0.4 0.0 0.06 0.13 -49.06 -5.75 24.5 88.13 87.13 178.31 1070443.0 1583076460.5509002 82
9.68 -0.45 -0.5 -0.13 -0.06 -0.13 -48.69 -5.75 24.5 88.13 87.06 178.25 1070493.0 1583076460.6017718 83
9.63 -0.37 -0.51 0.13 0.06 0.06 -49.06 -5.5 23.19 88.13 87.06 178.25 1070543.0 1583076460.6502044 84
9.72 -0.31 -0.34 -0.13 0.13 0.0 -48.69 -5.75 24.75 88.13 87.06 178.25 1070593.0 1583076460.700611 85
9.66 -0.44 -0.53 0.06 0.31 -0.13 -48.38 -5.75 25.56 88.06 87.06 178.25 1070643.0 1583076460.749885 86
9.71 -0.37 -0.39 0.06 -0.06 -0.06 -48.69 -5.5 25.56 88.06 87.06 178.25 1070693.0 1583076460.8008442 87
9.62 -0.29 -0.45 -0.13 0.06 0.06 -49.06 -5.5 24.5 88.06 87.0 178.25 1070743.0 1583076460.8501494 88
9.72 -0.46 -0.48 0.31 0.06 0.06 -48.38 -5.06 24.5 88.06 87.0 178.19 1070793.0 1583076460.9005997 89
9.66 -0.3 -0.37 0.0 0.0 -0.13 -49.06 -5.75 24.5 88.06 87.0 178.19 1070843.0 1583076460.950546 90
9.66 -0.33 -0.38 -0.13 -0.06 0.13 -47.56 -6.56 24.75 88.06 87.0 178.19 1070893.0 1583076461.0008495 91
9.69 -0.52 -0.52 0.13 -0.06 0.06 -48.0 -5.75 24.75 88.06 87.0 178.19 1070943.0 1583076461.0515816 92
9.69 -0.27 -0.36 -0.13 0.06 -0.13 -49.06 -5.5 24.5 88.0 87.0 178.19 1070993.0 1583076461.101537 93
9.63 -0.32 -0.43 0.06 0.06 0.19 -48.38 -5.75 24.5 88.0 87.0 178.19 1071043.0 1583076461.1509504 94
9.69 -0.41 -0.43 -0.06 -0.25 0.13 -48.69 -5.75 24.75 88.0 86.94 178.19 1071093.0 1583076461.20076 95
9.64 -0.34 -0.43 0.19 -0.06 -0.19 -48.69 -5.75 24.5 88.0 86.94 178.19 1071143.0 1583076461.2499506 96
9.66 -0.33 -0.35 -0.06 0.13 0.0 -49.06 -5.75 25.25 88.0 86.94 178.19 1071193.0 1583076461.2996929 97
9.63 -0.36 -0.47 0.0 0.0 0.06 -48.69 -5.75 24.75 88.0 86.94 178.13 1071243.0 1583076461.348953 98
9.65 -0.38 -0.45 0.06 0.25 -0.25 -49.5 -6.19 24.0 88.0 86.94 178.13 1071293.0 1583076461.399324 99
9.63 -0.33 -0.39 0.19 0.06 -0.06 -49.06 -5.5 24.75 88.0 86.94 178.13 1071343.0 1583076461.4503222 100
